UNDERLYING,SYMBOL,tsym,token
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,23650
NAVIN FLUORINE INT. LTD,NAVINFLUOR,NAVINFLUOR-EQ,14672
TATA CONSULTANCY SERV LT,TCS,TCS-EQ,11536
TECH MAHINDRA LIMITED,TECHM,TECHM-EQ,13538
TRENT LTD,TRENT,TRENT-EQ,1964
TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,8479
BIOCON LIMITED.,BIOCON,BIOCON-EQ,11373
NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND-EQ,17963
WIPRO LTD,WIPRO,WIPRO-EQ,3787
NTPC LTD,NTPC,NTPC-EQ,11630
OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,20242
OIL AND NATURAL GAS CORP.,ONGC,ONGC-EQ,2475
CITY UNION BANK LTD,CUB,CUB-EQ,5701
CHAMBAL FERTILIZERS LTD,CHAMBLFERT,CHAMBLFERT-EQ,637
PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,11351
PIDILITE INDUSTRIES LTD,PIDILITIND,PIDILITIND-EQ,2664
PUNJAB NATIONAL BANK,PNB,PNB-EQ,10666
GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,11872
POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,14977
THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,2043
RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,18391
HDFC AMC LIMITED,HDFCAMC,HDFCAMC-EQ,4244
REC LIMITED,RECLTD,RECLTD-EQ,15355
RELIANCE INDUSTRIES LTD,RELIANCE,RELIANCE-EQ,2885
STEEL AUTHORITY OF INDIA,SAIL,SAIL-EQ,2963
STATE BANK OF INDIA,SBIN,SBIN-EQ,3045
SHREE CEMENT LIMITED,SHREECEM,SHREECEM-EQ,3103
SHRIRAM FINANCE LIMITED,SHRIRAMFIN,SHRIRAMFIN-EQ,4306
SRF LTD,SRF,SRF-EQ,3273
SUN PHARMACEUTICAL IND L,SUNPHARMA,SUNPHARMA-EQ,3351
COAL INDIA LTD,COALINDIA,COALINDIA-EQ,20374
SYNGENE INTERNATIONAL LTD,SYNGENE,SYNGENE-EQ,10243
HINDUSTAN UNILEVER LTD.,HINDUNILVR,HINDUNILVR-EQ,1394
TATA CHEMICALS LTD,TATACHEM,TATACHEM-EQ,3405
TATA COMMUNICATIONS LTD,TATACOMM,TATACOMM-EQ,3721
TATA CONSUMER PRODUCT LTD,TATACONSUM,TATACONSUM-EQ,3432
