,Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,Unnamed: 10
28284,NFO,144176,250,RELIANCE,RELIANCE27JUL23C1600,27-JUL-2023,OPTSTK,CE,1600.0,0.05,
28285,NFO,144175,250,RELIANCE,RELIANCE27JUL23P1580,27-JUL-2023,OPTSTK,PE,1580.0,0.05,
28286,NFO,144174,250,RELIANCE,RELIANCE27JUL23C1580,27-JUL-2023,OPTSTK,CE,1580.0,0.05,
80069,NFO,75010,250,RELIANCE,RELIANCE27JUL23P3480,27-JUL-2023,OPTSTK,PE,3480.0,0.05,
80070,NFO,75009,250,RELIANCE,RELIANCE27JUL23C3480,27-JUL-2023,OPTSTK,CE,3480.0,0.05,
83463,NFO,69065,250,RELIANCE,RELIANCE27JUL23P3460,27-JUL-2023,OPTSTK,PE,3460.0,0.05,
83464,NFO,69064,250,RELIANCE,RELIANCE27JUL23C3460,27-JUL-2023,OPTSTK,CE,3460.0,0.05,
83465,NFO,69063,250,RELIANCE,RELIANCE27JUL23P3440,27-JUL-2023,OPTSTK,PE,3440.0,0.05,
83466,NFO,69062,250,RELIANCE,RELIANCE27JUL23C3440,27-JUL-2023,OPTSTK,CE,3440.0,0.05,
87804,NFO,63504,250,RELIANCE,RELIANCE27JUL23P1480,27-JUL-2023,OPTSTK,PE,1480.0,0.05,
87805,NFO,63503,250,RELIANCE,RELIANCE27JUL23C1480,27-JUL-2023,OPTSTK,CE,1480.0,0.05,
87806,NFO,63502,250,RELIANCE,RELIANCE27JUL23P1460,27-JUL-2023,OPTSTK,PE,1460.0,0.05,
87807,NFO,63501,250,RELIANCE,RELIANCE27JUL23C1460,27-JUL-2023,OPTSTK,CE,1460.0,0.05,
87808,NFO,63500,250,RELIANCE,RELIANCE27JUL23P1440,27-JUL-2023,OPTSTK,PE,1440.0,0.05,
87809,NFO,63499,250,RELIANCE,RELIANCE27JUL23C1440,27-JUL-2023,OPTSTK,CE,1440.0,0.05,
90533,NFO,60769,250,RELIANCE,RELIANCE27JUL23P1560,27-JUL-2023,OPTSTK,PE,1560.0,0.05,
90534,NFO,60768,250,RELIANCE,RELIANCE27JUL23C1560,27-JUL-2023,OPTSTK,CE,1560.0,0.05,
90537,NFO,60765,250,RELIANCE,RELIANCE27JUL23P1540,27-JUL-2023,OPTSTK,PE,1540.0,0.05,
90538,NFO,60764,250,RELIANCE,RELIANCE27JUL23C1540,27-JUL-2023,OPTSTK,CE,1540.0,0.05,
90539,NFO,60763,250,RELIANCE,RELIANCE27JUL23P1520,27-JUL-2023,OPTSTK,PE,1520.0,0.05,
90540,NFO,60762,250,RELIANCE,RELIANCE27JUL23C1520,27-JUL-2023,OPTSTK,CE,1520.0,0.05,
90543,NFO,60759,250,RELIANCE,RELIANCE27JUL23P1500,27-JUL-2023,OPTSTK,PE,1500.0,0.05,
90544,NFO,60758,250,RELIANCE,RELIANCE27JUL23C1500,27-JUL-2023,OPTSTK,CE,1500.0,0.05,
96410,NFO,54888,250,RELIANCE,RELIANCE27JUL23P3400,27-JUL-2023,OPTSTK,PE,3400.0,0.05,
96411,NFO,54887,250,RELIANCE,RELIANCE27JUL23C3400,27-JUL-2023,OPTSTK,CE,3400.0,0.05,
101100,NFO,50001,250,RELIANCE,RELIANCE27JUL23P3380,27-JUL-2023,OPTSTK,PE,3380.0,0.05,
101101,NFO,50000,250,RELIANCE,RELIANCE27JUL23C3380,27-JUL-2023,OPTSTK,CE,3380.0,0.05,
101106,NFO,49995,250,RELIANCE,RELIANCE27JUL23P3360,27-JUL-2023,OPTSTK,PE,3360.0,0.05,
101107,NFO,49994,250,RELIANCE,RELIANCE27JUL23C3360,27-JUL-2023,OPTSTK,CE,3360.0,0.05,
107915,NFO,43112,250,RELIANCE,RELIANCE27JUL23F,27-JUL-2023,FUTSTK,XX,-0.01,0.05,
109396,NFO,41627,250,RELIANCE,RELIANCE27JUL23P3660,27-JUL-2023,OPTSTK,PE,3660.0,0.05,
109397,NFO,41626,250,RELIANCE,RELIANCE27JUL23C3660,27-JUL-2023,OPTSTK,CE,3660.0,0.05,
109402,NFO,41621,250,RELIANCE,RELIANCE27JUL23P3640,27-JUL-2023,OPTSTK,PE,3640.0,0.05,
109403,NFO,41620,250,RELIANCE,RELIANCE27JUL23C3640,27-JUL-2023,OPTSTK,CE,3640.0,0.05,
109410,NFO,41613,250,RELIANCE,RELIANCE27JUL23P3620,27-JUL-2023,OPTSTK,PE,3620.0,0.05,
109411,NFO,41612,250,RELIANCE,RELIANCE27JUL23C3620,27-JUL-2023,OPTSTK,CE,3620.0,0.05,
109691,NFO,41332,250,RELIANCE,RELIANCE27JUL23P3340,27-JUL-2023,OPTSTK,PE,3340.0,0.05,
109692,NFO,41331,250,RELIANCE,RELIANCE27JUL23C3340,27-JUL-2023,OPTSTK,CE,3340.0,0.05,
111263,NFO,39750,250,RELIANCE,RELIANCE27JUL23P3420,27-JUL-2023,OPTSTK,PE,3420.0,0.05,
111264,NFO,39749,250,RELIANCE,RELIANCE27JUL23C3420,27-JUL-2023,OPTSTK,CE,3420.0,0.05,
111652,NFO,39361,250,RELIANCE,RELIANCE27JUL23P3600,27-JUL-2023,OPTSTK,PE,3600.0,0.05,
111653,NFO,39360,250,RELIANCE,RELIANCE27JUL23C3600,27-JUL-2023,OPTSTK,CE,3600.0,0.05,
111655,NFO,39358,250,RELIANCE,RELIANCE27JUL23P3580,27-JUL-2023,OPTSTK,PE,3580.0,0.05,
111658,NFO,39355,250,RELIANCE,RELIANCE27JUL23C3580,27-JUL-2023,OPTSTK,CE,3580.0,0.05,
112718,NFO,38295,250,RELIANCE,RELIANCE27JUL23P3320,27-JUL-2023,OPTSTK,PE,3320.0,0.05,
112719,NFO,38294,250,RELIANCE,RELIANCE27JUL23C3320,27-JUL-2023,OPTSTK,CE,3320.0,0.05,
112720,NFO,38293,250,RELIANCE,RELIANCE27JUL23P3300,27-JUL-2023,OPTSTK,PE,3300.0,0.05,
112723,NFO,38290,250,RELIANCE,RELIANCE27JUL23C3300,27-JUL-2023,OPTSTK,CE,3300.0,0.05,
