UNDERLYING,SYMBOL,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
KOTAK MAHINDRA BANK LTD,KOTAKBANK,KOTAKBANK-EQ,1922,Ok,25-07-2023 09:15:00,1690256700,1902.00,1902.00,1889.00,1894.10,1896.34,280592,0,280592,0
SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,17971,Ok,25-07-2023 09:15:00,1690256700,1314.90,1316.65,1300.50,1300.75,1308.93,190395,0,190395,0
SBI LIFE INSURANCE CO LTD,SBILIFE,SBILIFE-EQ,21808,Ok,25-07-2023 09:15:00,1690256700,132.55,133.00,131.55,132.05,132.29,1195914,0,1195914,0
L&T FINANCE HOLDINGS LTD,L&TFH,L&TFH-EQ,24948,Ok,25-07-2023 09:15:00,1690256700,862.00,877.00,860.20,872.25,870.88,264859,0,264859,0
DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,11654,Ok,25-07-2023 09:15:00,1690256700,2359.00,2379.40,2356.00,2372.20,2371.20,21780,0,21780,0
LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,19234,Ok,25-07-2023 09:15:00,1690256700,349.70,350.00,347.50,348.10,348.91,106237,0,106237,0
LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,1997,Ok,25-07-2023 09:15:00,1690256700,391.60,392.40,390.00,391.05,391.31,168690,0,168690,0
LARSEN & TOUBRO LTD.,LT,LT-EQ,11483,Ok,25-07-2023 09:15:00,1690256700,2614.90,2616.00,2603.25,2613.00,2610.37,138300,0,138300,0
LTIMINDTREE LIMITED,LTIM,LTIM-EQ,17818,Ok,25-07-2023 09:15:00,1690256700,4898.80,4899.00,4856.00,4870.00,4882.11,29211,0,29211,0
L&T TECHNOLOGY SER. LTD.,LTTS,LTTS-EQ,18564,Ok,25-07-2023 09:15:00,1690256700,785.05,787.60,780.05,786.00,785.01,128372,0,128372,0
