token,company,symbol,tsym,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
1363,HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,Ok,03-08-2023 09:15:00,1691034300,449.45,451.75,448.30,449.35,450.02,406981,0,419297,0
17939,HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,Ok,03-08-2023 09:15:00,1691034300,147.80,151.90,147.00,151.90,150.42,2659961,0,2699200,0
1406,HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,Ok,03-08-2023 09:15:00,1691034300,277.00,277.70,269.60,271.90,272.49,1324739,0,1381073,0
30125,INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,150.00,155.10,149.80,154.50,153.33,9544726,0,9656951,0
21770,ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,Ok,03-08-2023 09:15:00,1691034300,1357.05,1360.60,1351.55,1353.05,1357.15,23884,0,24021,0
18652,ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,Ok,03-08-2023 09:15:00,1691034300,568.00,570.45,565.00,569.05,567.81,72840,0,74928,0
220,INDIAN ENERGY EXC LTD,IEX,IEX-EQ,Ok,03-08-2023 09:15:00,1691034300,127.10,128.10,126.75,127.60,127.50,751787,0,759665,0
11262,INDRAPRASTHA GAS LTD,IGL,IGL-EQ,Ok,03-08-2023 09:15:00,1691034300,453.80,455.00,450.65,454.15,452.60,234254,0,235999,0
1515,THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,Ok,03-08-2023 09:15:00,1691034300,214.75,215.70,213.30,214.95,214.58,263108,0,264810,0
10726,INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,Ok,03-08-2023 09:15:00,1691034300,3035.70,3063.95,3011.40,3058.85,3042.98,23008,0,23283,0
29135,INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER-EQ,Ok,03-08-2023 09:15:00,1691034300,169.95,171.25,168.60,171.15,169.80,403555,0,408574,0
1624,INDIAN OIL CORP LTD,IOC,IOC-EQ,Ok,03-08-2023 09:15:00,1691034300,93.85,94.20,93.60,93.75,93.95,1054959,0,1088672,0
1633,IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,Ok,03-08-2023 09:15:00,1691034300,888.25,901.95,887.60,900.00,895.32,29017,0,29175,0
13611,INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,Ok,03-08-2023 09:15:00,1691034300,637.80,641.30,635.10,640.85,638.24,90847,0,93205,0
10738,ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,Ok,03-08-2023 09:15:00,1691034300,3840.05,3865.00,3840.05,3855.60,3850.16,2149,0,2164,0
14413,PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,Ok,03-08-2023 09:15:00,1691034300,38700.00,38850.00,38467.90,38795.00,38662.55,1336,0,1359,0
13270,JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,Ok,03-08-2023 09:15:00,1691034300,3202.45,3202.45,3161.65,3192.50,3181.60,3479,0,3496,0
18365,PERSISTENT SYSTEMS LTD,PERSISTENT,PERSISTENT-EQ,Ok,03-08-2023 09:15:00,1691034300,4703.65,4716.55,4666.05,4709.00,4688.12,20864,0,21370,0
24184,PI INDUSTRIES LTD,PIIND,PIIND-EQ,Ok,03-08-2023 09:15:00,1691034300,3710.50,3714.85,3664.45,3692.55,3683.35,25039,0,26068,0
1922,KOTAK MAHINDRA BANK LTD,KOTAKBANK,KOTAKBANK-EQ,Ok,03-08-2023 09:15:00,1691034300,1818.25,1824.65,1810.95,1819.05,1819.35,420848,0,426186,0
17971,SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,Ok,03-08-2023 09:15:00,1691034300,871.20,874.70,865.15,874.25,870.84,59999,0,62200,0
21808,SBI LIFE INSURANCE CO LTD,SBILIFE,SBILIFE-EQ,Ok,03-08-2023 09:15:00,1691034300,1262.00,1263.75,1252.55,1260.75,1257.96,46158,0,47072,0
24948,L&T FINANCE HOLDINGS LTD,L&TFH,L&TFH-EQ,Ok,03-08-2023 09:15:00,1691034300,129.45,129.85,127.60,128.60,128.64,5877328,0,5917371,0
11654,DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,Ok,03-08-2023 09:15:00,1691034300,2292.60,2309.00,2283.10,2307.05,2295.13,13398,0,13717,0
19234,LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,Ok,03-08-2023 09:15:00,1691034300,365.30,370.80,364.65,369.25,368.82,677063,0,683952,0
1997,LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,414.25,420.30,413.55,419.05,418.04,347459,0,351286,0
11483,LARSEN & TOUBRO LTD.,LT,LT-EQ,Ok,03-08-2023 09:15:00,1691034300,2611.25,2635.00,2598.30,2634.95,2618.39,163126,0,167435,0
17818,LTIMINDTREE LIMITED,LTIM,LTIM-EQ,Ok,03-08-2023 09:15:00,1691034300,4850.45,4883.00,4831.05,4880.50,4855.97,25732,0,27002,0
18564,L&T TECHNOLOGY SER. LTD.,LTTS,LTTS-EQ,Ok,03-08-2023 09:15:00,1691034300,4089.95,4157.00,4078.05,4157.00,4123.82,21776,0,22207,0
275,AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,Ok,03-08-2023 09:15:00,1691034300,817.85,848.60,817.85,848.00,838.79,583732,0,585533,0
10440,LUPIN LIMITED,LUPIN,LUPIN-EQ,Ok,03-08-2023 09:15:00,1691034300,989.90,1018.65,988.00,1015.60,1009.44,369243,0,372076,0
2031,MAHINDRA & MAHINDRA LTD,M&M,M&M-EQ,Ok,03-08-2023 09:15:00,1691034300,1482.40,1487.95,1477.20,1482.60,1483.74,113090,0,115542,0
13285,M&M FIN. SERVICES LTD,M&MFIN,M&MFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,291.25,295.60,289.40,294.85,292.76,566967,0,574267,0
4067,MARICO LIMITED,MARICO,MARICO-EQ,Ok,03-08-2023 09:15:00,1691034300,569.50,569.95,563.65,569.05,567.10,359067,0,368781,0
9581,METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,Ok,03-08-2023 09:15:00,1691034300,1349.00,1404.90,1343.05,1394.50,1383.99,185673,0,192448,0
16675,BAJAJ FINSERV LTD.,BAJAJFINSV,BAJAJFINSV-EQ,Ok,03-08-2023 09:15:00,1691034300,1521.95,1521.95,1507.40,1515.50,1515.15,292728,0,295729,0
694,CIPLA LTD,CIPLA,CIPLA-EQ,Ok,03-08-2023 09:15:00,1691034300,1165.65,1172.95,1158.15,1172.95,1165.07,182012,0,183100,0
2277,MRF LTD,MRF,MRF-EQ,Ok,03-08-2023 09:15:00,1691034300,102890.00,102890.00,102105.05,102500.00,102407.79,639,0,647,0
676,EXIDE INDUSTRIES LTD,EXIDEIND,EXIDEIND-EQ,Ok,03-08-2023 09:15:00,1691034300,260.00,260.35,257.10,259.00,258.14,264738,0,272531,0
23650,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOTFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,1345.00,1357.75,1342.35,1357.05,1351.27,19804,0,19988,0
14672,NAVIN FLUORINE INT. LTD,NAVINFLUOR,NAVINFLUOR-EQ,Ok,03-08-2023 09:15:00,1691034300,4501.00,4606.85,4501.00,4596.75,4586.49,18800,0,19084,0
11536,TATA CONSULTANCY SERV LT,TCS,TCS-EQ,Ok,03-08-2023 09:15:00,1691034300,3421.00,3432.00,3414.75,3430.90,3424.51,121302,0,131920,0
13538,TECH MAHINDRA LIMITED,TECHM,TECHM-EQ,Ok,03-08-2023 09:15:00,1691034300,1140.60,1146.95,1136.70,1143.75,1142.14,153310,0,157539,0
1964,TRENT LTD,TRENT,TRENT-EQ,Ok,03-08-2023 09:15:00,1691034300,1687.00,1693.85,1670.40,1693.75,1683.04,24451,0,24632,0
8479,TVS MOTOR COMPANY  LTD,TVSMOTOR,TVSMOTOR-EQ,Ok,03-08-2023 09:15:00,1691034300,1381.90,1388.00,1373.60,1385.95,1382.48,119222,0,120620,0
11373,BIOCON LIMITED.,BIOCON,BIOCON-EQ,Ok,03-08-2023 09:15:00,1691034300,253.00,256.30,252.10,256.10,255.05,215274,0,218529,0
17963,NESTLE INDIA LIMITED,NESTLEIND,NESTLEIND-EQ,Ok,03-08-2023 09:15:00,1691034300,22882.30,22882.30,22660.00,22792.40,22757.28,2398,0,2458,0
3787,WIPRO LTD,WIPRO,WIPRO-EQ,Ok,03-08-2023 09:15:00,1691034300,401.80,401.80,398.60,401.15,400.03,263002,0,278585,0
11630,NTPC LTD,NTPC,NTPC-EQ,Ok,03-08-2023 09:15:00,1691034300,218.60,222.15,218.30,222.00,220.84,1756865,0,1783308,0
20242,OBEROI REALTY LIMITED,OBEROIRLTY,OBEROIRLTY-EQ,Ok,03-08-2023 09:15:00,1691034300,1118.00,1120.25,1091.00,1099.25,1098.22,90220,0,90461,0
2475,OIL AND NATURAL GAS CORP.,ONGC,ONGC-EQ,Ok,03-08-2023 09:15:00,1691034300,174.50,175.80,174.50,175.30,175.15,419102,0,429519,0
5701,CITY UNION BANK LTD,CUB,CUB-EQ,Ok,03-08-2023 09:15:00,1691034300,131.15,131.40,130.00,131.30,130.77,178063,0,185178,0
637,CHAMBAL FERTILIZERS LTD,CHAMBLFERT,CHAMBLFERT-EQ,Ok,03-08-2023 09:15:00,1691034300,274.50,275.35,271.90,275.20,273.67,87590,0,89698,0
11351,PETRONET LNG LIMITED,PETRONET,PETRONET-EQ,Ok,03-08-2023 09:15:00,1691034300,225.55,225.60,223.95,225.15,224.64,197692,0,199669,0
2664,PIDILITE INDUSTRIES LTD,PIDILITIND,PIDILITIND-EQ,Ok,03-08-2023 09:15:00,1691034300,2630.00,2636.50,2608.00,2620.80,2618.74,12646,0,13244,0
10666,PUNJAB NATIONAL BANK,PNB,PNB-EQ,Ok,03-08-2023 09:15:00,1691034300,59.50,59.90,59.30,59.80,59.67,4074580,0,4190878,0
11872,GRANULES INDIA LIMITED,GRANULES,GRANULES-EQ,Ok,03-08-2023 09:15:00,1691034300,317.00,321.30,316.45,320.00,319.54,155089,0,158088,0
14977,POWER GRID CORP. LTD.,POWERGRID,POWERGRID-EQ,Ok,03-08-2023 09:15:00,1691034300,248.95,249.00,247.00,248.35,248.04,673973,0,694597,0
2043,THE RAMCO CEMENTS LIMITED,RAMCOCEM,RAMCOCEM-EQ,Ok,03-08-2023 09:15:00,1691034300,879.60,884.55,878.50,881.75,881.18,8748,0,9356,0
18391,RBL BANK LIMITED,RBLBANK,RBLBANK-EQ,Ok,03-08-2023 09:15:00,1691034300,218.05,221.80,218.05,221.60,220.33,1284444,0,1309597,0
4244,HDFC AMC LIMITED,HDFCAMC,HDFCAMC-EQ,Ok,03-08-2023 09:15:00,1691034300,2488.05,2488.05,2461.70,2477.65,2475.12,26028,0,26501,0
15355,REC LIMITED,RECLTD,RECLTD-EQ,Ok,03-08-2023 09:15:00,1691034300,194.90,196.95,193.75,196.80,195.74,1417935,0,1438064,0
2885,RELIANCE INDUSTRIES LTD,RELIANCE,RELIANCE-EQ,Ok,03-08-2023 09:15:00,1691034300,2476.05,2485.60,2471.00,2481.95,2479.07,239075,0,266487,0
2963,STEEL AUTHORITY OF INDIA,SAIL,SAIL-EQ,Ok,03-08-2023 09:15:00,1691034300,92.55,93.15,92.15,93.00,92.66,858893,0,877258,0
3045,STATE BANK OF INDIA,SBIN,SBIN-EQ,Ok,03-08-2023 09:15:00,1691034300,598.65,600.00,595.30,599.70,598.32,1050595,0,1065602,0
3103,SHREE CEMENT LIMITED,SHREECEM,SHREECEM-EQ,Ok,03-08-2023 09:15:00,1691034300,24035.00,24058.95,23860.40,24015.60,23993.11,1344,0,1357,0
4306,SHRIRAM FINANCE LIMITED,SHRIRAMFIN,SHRIRAMFIN-EQ,Ok,03-08-2023 09:15:00,1691034300,1828.95,1836.00,1816.65,1834.00,1828.43,60485,0,61040,0
3273,SRF LTD,SRF,SRF-EQ,Ok,03-08-2023 09:15:00,1691034300,2274.00,2274.00,2255.00,2260.45,2265.35,41583,0,42287,0
3351,SUN PHARMACEUTICAL IND L,SUNPHARMA,SUNPHARMA-EQ,Ok,03-08-2023 09:15:00,1691034300,1130.90,1162.65,1130.70,1153.00,1153.73,514025,0,517096,0
20374,COAL INDIA LTD,COALINDIA,COALINDIA-EQ,Ok,03-08-2023 09:15:00,1691034300,234.60,235.00,233.55,234.85,234.35,582544,0,593595,0
10243,SYNGENE INTERNATIONAL LTD,SYNGENE,SYNGENE-EQ,Ok,03-08-2023 09:15:00,1691034300,803.20,806.60,794.80,806.60,800.31,39268,0,39438,0
1394,HINDUSTAN UNILEVER LTD.,HINDUNILVR,HINDUNILVR-EQ,Ok,03-08-2023 09:15:00,1691034300,2557.45,2561.00,2540.30,2541.50,2546.67,173472,0,176467,0
3405,TATA CHEMICALS LTD,TATACHEM,TATACHEM-EQ,Ok,03-08-2023 09:15:00,1691034300,1039.90,1045.90,1030.45,1043.00,1040.02,88374,0,89872,0
3721,TATA COMMUNICATIONS LTD,TATACOMM,TATACOMM-EQ,Ok,03-08-2023 09:15:00,1691034300,1712.20,1737.80,1705.45,1736.45,1721.52,140299,0,141309,0
