company,symbol,tsym,token,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
CAN FIN HOMES LTD,CANFINHOME,CANFINHOME-EQ,583,Ok,28-07-2023 09:15:00,1690515900,381.65,388.35,378.70,388.30,383.11,1997218,0,2097618,0
THE INDIAN HOTELS CO. LTD,INDHOTEL,INDHOTEL-EQ,1512,Ok,28-07-2023 09:15:00,1690515900,750.00,751.00,736.20,737.20,743.74,329481,0,332653,0
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,CHOLAFIN-EQ,685,Ok,28-07-2023 09:15:00,1690515900,1138.10,1147.00,1134.35,1139.30,1142.01,123444,0,124907,0
COLGATE PALMOLIVE LTD.,COLPAL,COLPAL-EQ,15141,Ok,28-07-2023 09:15:00,1690515900,197.40,204.40,197.40,203.40,202.06,4301549,0,4329748,0
COROMANDEL INTERNTL. LTD,COROMANDEL,COROMANDEL-EQ,739,Ok,28-07-2023 09:15:00,1690515900,2560.00,2578.00,2535.60,2570.75,2562.99,49386,0,49899,0
CROMPT GREA CON ELEC LTD,CROMPTON,CROMPTON-EQ,17094,Ok,28-07-2023 09:15:00,1690515900,1356.45,1363.70,1355.10,1357.40,1358.22,789413,0,803556,0
DABUR INDIA LTD,DABUR,DABUR-EQ,772,Ok,28-07-2023 09:15:00,1690515900,290.00,291.00,289.75,290.65,290.46,39137,0,40049,0
DALMIA BHARAT LIMITED,DALBHARAT,DALBHARAT-EQ,8075,Ok,28-07-2023 09:15:00,1690515900,572.95,574.80,570.00,574.05,572.91,200963,0,202285,0
INTERGLOBE AVIATION LTD,INDIGO,INDIGO-EQ,11195,Ok,28-07-2023 09:15:00,1690515900,507.80,508.80,504.95,508.40,507.46,835044,0,845143,0
DEEPAK NITRITE LTD,DEEPAKNTR,DEEPAKNTR-EQ,19943,Ok,28-07-2023 09:15:00,1690515900,1000.10,1006.50,995.10,995.10,1002.13,71173,0,72521,0
DELTA CORP LIMITED,DELTACORP,DELTACORP-EQ,15044,Ok,28-07-2023 09:15:00,1690515900,1983.95,1984.35,1970.30,1972.85,1977.36,27201,0,27743,0
BANK OF BARODA,BANKBARODA,BANKBARODA-EQ,4668,Ok,28-07-2023 09:15:00,1690515900,2010.05,2062.10,1992.50,2042.40,2034.79,436242,0,438013,0
DLF LIMITED,DLF,DLF-EQ,14732,Ok,28-07-2023 09:15:00,1690515900,1949.75,1953.00,1940.00,1947.35,1947.60,11551,0,11609,0
INFOSYS LIMITED,INFY,INFY-EQ,1594,Ok,28-07-2023 09:15:00,1690515900,198.65,199.35,197.50,198.70,198.32,1515099,0,1546181,0
DR. REDDY S LABORATORIES,DRREDDY,DRREDDY-EQ,881,Ok,28-07-2023 09:15:00,1690515900,2462.20,2509.35,2450.00,2505.30,2491.24,95924,0,96039,0
ESCORTS KUBOTA LIMITED,ESCORTS,ESCORTS-EQ,958,Ok,28-07-2023 09:15:00,1690515900,5520.10,5592.75,5520.00,5580.00,5564.35,95268,0,96172,0
MARUTI SUZUKI INDIA LTD.,MARUTI,MARUTI-EQ,10999,Ok,28-07-2023 09:15:00,1690515900,49.45,50.15,49.20,49.65,49.84,1958969,0,2070582,0
FEDERAL BANK LTD,FEDERALBNK,FEDERALBNK-EQ,1023,Ok,28-07-2023 09:15:00,1690515900,9735.00,9745.00,9698.05,9720.05,9716.76,16593,0,16872,0
UNITED SPIRITS LIMITED,MCDOWELL-N,MCDOWELL-N-EQ,10447,Ok,28-07-2023 09:15:00,1690515900,134.10,135.15,134.10,134.95,134.58,1434651,0,1447038,0
GAIL (INDIA) LTD,GAIL,GAIL-EQ,4717,Ok,28-07-2023 09:15:00,1690515900,1000.65,1004.10,996.30,996.50,1001.07,96210,0,97533,0
MAX FINANCIAL SERV LTD,MFSL,MFSL-EQ,2142,Ok,28-07-2023 09:15:00,1690515900,116.70,117.30,116.50,116.75,116.90,1150040,0,1174499,0
GLENMARK PHARMACEUTICALS,GLENMARK,GLENMARK-EQ,7406,Ok,28-07-2023 09:15:00,1690515900,811.95,819.20,802.80,811.75,812.69,23044,0,23162,0
GMR AIRPORTS INFRA LTD,GMRINFRA,GMRINFRA-EQ,13528,Ok,28-07-2023 09:15:00,1690515900,586.75,588.65,583.00,584.25,585.18,111000,0,112536,0
GUJ NAR VAL FER & CHEM L,GNFC,GNFC-EQ,1174,Ok,28-07-2023 09:15:00,1690515900,1321.00,1323.40,1311.70,1320.25,1318.75,69080,0,70400,0
NATIONAL ALUMINIUM CO LTD,NATIONALUM,NATIONALUM-EQ,6364,Ok,28-07-2023 09:15:00,1690515900,94.95,95.00,94.40,94.70,94.71,444762,0,459425,0
HINDUSTAN AERONAUTICS LTD,HAL,HAL-EQ,2303,Ok,28-07-2023 09:15:00,1690515900,3852.95,3852.95,3831.10,3837.95,3839.28,51993,0,53511,0
HAVELLS INDIA LIMITED,HAVELLS,HAVELLS-EQ,9819,Ok,28-07-2023 09:15:00,1690515900,1665.40,1668.90,1655.10,1656.05,1660.63,1582689,0,1901190,0
HDFC BANK LTD,HDFCBANK,HDFCBANK-EQ,1333,Ok,28-07-2023 09:15:00,1690515900,824.00,829.45,821.10,821.15,825.14,134888,0,137749,0
INFO EDGE (I) LTD,NAUKRI,NAUKRI-EQ,13751,Ok,28-07-2023 09:15:00,1690515900,4569.35,4610.00,4549.40,4603.05,4586.67,15316,0,15368,0
HERO MOTOCORP LIMITED,HEROMOTOCO,HEROMOTOCO-EQ,1348,Ok,28-07-2023 09:15:00,1690515900,450.55,450.75,446.05,446.85,447.58,302761,0,309990,0
HINDALCO  INDUSTRIES  LTD,HINDALCO,HINDALCO-EQ,1363,Ok,28-07-2023 09:15:00,1690515900,3146.90,3154.85,3138.45,3142.65,3146.08,33668,0,34131,0
HINDUSTAN COPPER LTD,HINDCOPPER,HINDCOPPER-EQ,17939,Ok,28-07-2023 09:15:00,1690515900,127.50,128.05,126.40,126.65,127.16,466124,0,479950,0
HINDUSTAN PETROLEUM CORP,HINDPETRO,HINDPETRO-EQ,1406,Ok,28-07-2023 09:15:00,1690515900,128.80,131.10,128.70,130.15,130.18,3511612,0,3582513,0
INDIABULLS HSG FIN LTD,IBULHSGFIN,IBULHSGFIN-EQ,30125,Ok,28-07-2023 09:15:00,1690515900,292.00,292.00,284.45,285.30,285.88,1478908,0,1480664,0
ICICI LOMBARD GIC LIMITED,ICICIGI,ICICIGI-EQ,21770,Ok,28-07-2023 09:15:00,1690515900,573.95,573.95,570.10,570.20,571.86,70241,0,71535,0
ICICI PRU LIFE INS CO LTD,ICICIPRULI,ICICIPRULI-EQ,18652,Ok,28-07-2023 09:15:00,1690515900,120.25,122.95,120.00,122.80,121.52,2514569,0,2610722,0
INDIAN ENERGY EXC LTD,IEX,IEX-EQ,220,Ok,28-07-2023 09:15:00,1690515900,460.60,464.05,460.05,462.25,462.51,100411,0,103883,0
INDRAPRASTHA GAS LTD,IGL,IGL-EQ,11262,Ok,28-07-2023 09:15:00,1690515900,1357.70,1364.45,1357.70,1362.10,1361.93,16956,0,17040,0
THE INDIA CEMENTS LIMITED,INDIACEM,INDIACEM-EQ,1515,Ok,28-07-2023 09:15:00,1690515900,3017.00,3069.95,3007.10,3063.95,3050.54,55828,0,56463,0
INDIAMART INTERMESH LTD,INDIAMART,INDIAMART-EQ,10726,Ok,28-07-2023 09:15:00,1690515900,178.90,178.90,175.25,176.10,176.83,2977298,0,3118406,0
INDUS TOWERS LIMITED,INDUSTOWER,INDUSTOWER-EQ,29135,Ok,28-07-2023 09:15:00,1690515900,213.00,214.20,212.75,213.50,213.61,345708,0,347948,0
INTELLECT DESIGN ARENA,INTELLECT,INTELLECT-EQ,5926,Ok,28-07-2023 09:15:00,1690515900,603.50,644.45,603.50,643.75,629.48,1996432,0,2040144,0
INDIAN OIL CORP LTD,IOC,IOC-EQ,1624,Ok,28-07-2023 09:15:00,1690515900,836.95,836.95,825.75,829.15,830.86,65631,0,67228,0
IPCA LABORATORIES LTD,IPCALAB,IPCALAB-EQ,1633,Ok,28-07-2023 09:15:00,1690515900,96.15,96.15,95.40,95.85,95.85,2887119,0,3067704,0
INDIAN RAIL TOUR CORP LTD,IRCTC,IRCTC-EQ,13611,Ok,28-07-2023 09:15:00,1690515900,619.75,621.60,618.20,620.45,620.05,51886,0,54208,0
ORACLE FIN SERV SOFT LTD.,OFSS,OFSS-EQ,10738,Ok,28-07-2023 09:15:00,1690515900,3817.90,3844.90,3794.95,3844.00,3821.29,4823,0,4921,0
PAGE INDUSTRIES LTD,PAGEIND,PAGEIND-EQ,14413,Ok,28-07-2023 09:15:00,1690515900,3214.10,3225.00,3181.00,3216.95,3215.25,2993,0,3065,0
JK CEMENT LIMITED,JKCEMENT,JKCEMENT-EQ,13270,Ok,28-07-2023 09:15:00,1690515900,37356.05,37419.55,37255.05,37280.00,37336.55,835,0,861,0
PERSISTENT SYSTEMS LTD,PERSISTENT,PERSISTENT-EQ,18365,Ok,28-07-2023 09:15:00,1690515900,1874.85,1876.45,1861.10,1864.15,1865.10,250088,0,255139,0
PI INDUSTRIES LTD,PIIND,PIIND-EQ,24184,Ok,28-07-2023 09:15:00,1690515900,1301.80,1301.90,1281.35,1283.80,1285.72,90642,0,91238,0
KOTAK MAHINDRA BANK LTD,KOTAKBANK,KOTAKBANK-EQ,1922,Ok,28-07-2023 09:15:00,1690515900,3565.05,3579.90,3540.05,3555.00,3558.39,19485,0,19560,0
SBI CARDS & PAY SER LTD,SBICARD,SBICARD-EQ,17971,Ok,28-07-2023 09:15:00,1690515900,4742.80,4758.65,4715.70,4740.05,4736.65,29294,0,29559,0
SBI LIFE INSURANCE CO LTD,SBILIFE,SBILIFE-EQ,21808,Ok,28-07-2023 09:15:00,1690515900,859.95,862.00,848.30,852.05,852.44,116166,0,116901,0
L&T FINANCE HOLDINGS LTD,L&TFH,L&TFH-EQ,24948,Ok,28-07-2023 09:15:00,1690515900,398.40,399.85,397.20,398.15,398.56,116206,0,117717,0
DR. LAL PATH LABS LTD.,LALPATHLAB,LALPATHLAB-EQ,11654,Ok,28-07-2023 09:15:00,1690515900,2491.75,2491.80,2369.35,2431.65,2413.00,138251,0,139318,0
LAURUS LABS LIMITED,LAURUSLABS,LAURUSLABS-EQ,19234,Ok,28-07-2023 09:15:00,1690515900,2659.00,2662.10,2650.05,2659.40,2656.95,98344,0,105219,0
LIC HOUSING FINANCE LTD,LICHSGFIN,LICHSGFIN-EQ,1997,Ok,28-07-2023 09:15:00,1690515900,339.80,348.80,336.95,345.00,343.25,2852341,0,2911679,0
LARSEN & TOUBRO LTD.,LT,LT-EQ,11483,Ok,28-07-2023 09:15:00,1690515900,4883.85,4887.75,4848.50,4878.25,4870.56,16014,0,16648,0
LTIMINDTREE LIMITED,LTIM,LTIM-EQ,17818,Ok,28-07-2023 09:15:00,1690515900,131.35,131.35,129.20,130.90,130.35,836143,0,866785,0
L&T TECHNOLOGY SER. LTD.,LTTS,LTTS-EQ,18564,Ok,28-07-2023 09:15:00,1690515900,988.00,989.90,978.00,980.10,982.61,230945,0,248220,0
AUROBINDO PHARMA LTD,AUROPHARMA,AUROPHARMA-EQ,275,Ok,28-07-2023 09:15:00,1690515900,313.85,313.95,309.45,309.90,311.81,358523,0,362266,0
LUPIN LIMITED,LUPIN,LUPIN-EQ,10440,Ok,28-07-2023 09:15:00,1690515900,555.80,562.20,555.00,559.50,559.50,580875,0,585423,0
MAHINDRA & MAHINDRA LTD,M&M,M&M-EQ,2031,Ok,28-07-2023 09:15:00,1690515900,824.60,833.95,824.60,831.35,829.87,238306,0,244489,0
M&M FIN. SERVICES LTD,M&MFIN,M&MFIN-EQ,13285,Ok,28-07-2023 09:15:00,1690515900,1460.05,1463.20,1450.00,1457.15,1455.45,325040,0,336267,0
MARICO LIMITED,MARICO,MARICO-EQ,4067,Ok,28-07-2023 09:15:00,1690515900,3955.00,3960.00,3940.95,3954.85,3950.01,8530,0,8848,0
METROPOLIS HEALTHCARE LTD,METROPOLIS,METROPOLIS-EQ,9581,Ok,28-07-2023 09:15:00,1690515900,1629.40,1629.40,1586.20,1597.10,1603.01,325945,0,329817,0
BAJAJ FINSERV LTD.,BAJAJFINSV,BAJAJFINSV-EQ,16675,Ok,28-07-2023 09:15:00,1690515900,256.75,256.90,253.65,254.05,255.12,351644,0,361621,0
CIPLA LTD,CIPLA,CIPLA-EQ,694,Ok,28-07-2023 09:15:00,1690515900,102250.00,102366.40,101880.70,102124.00,102136.85,302,0,313,0
